Продукт,Калорийность,Белки,Жиры,Углеводы
�кие,163 кКал,"0,4 г",0 г,12 г
Вина ликерные,212 кКал,"0,5 г",0 г,30 г
Вина полудесертные,140 кКал,"0,4 г",0 г,12 г
Вина полусладкие белые и красные (в т. ч. шампанское),88 кКал,"0,2 г",0 г,5 г
Вина полусухие белые и красные (в т. ч. шампанское),78 кКал,"0,3 г",0 г,"2,5 г"
Вина сладкие белые и красные (в т. ч. шампанское),100 кКал,"0,2 г",0 г,8 г
Вина сухие белые и красные (в т. ч. шампанское),64 кКал,"0,2 г",0 г,"0,3 г"
"Вино,  десертное, сухое",152 кКал,"0,2 г",0 г,"11,67 г"
"Вино, безалкогольное",6 кКал,"0,5 г",0 г,"1,1 г"
"Вино, десертное, сладкое",160 кКал,"0,2 г",0 г,"13,69 г"
"Вино, кулинарное",50 кКал,"0,5 г",0 г,"6,3 г"
"Вино, легкое",49 кКал,"0,07 г",0 г,"1,17 г"
"Вино, столовое, белое",82 кКал,"0,07 г",0 г,"2,6 г"
"Вино, столовое, белое, Гевюрцтраминер (Gewurztraminer)",81 кКал,"0,07 г",0 г,"2,6 г"
"Вино, столовое, белое, Лэйт Харвест (late harvest)",112 кКал,"0,07 г",0 г,"13,39 г"
"Вино, столовое, белое, Мускат (Muscat)",82 кКал,"0,07 г",0 г,"5,23 г"
"Вино, столовое, белое, Мюллер-Тургау (Muller Thurgau)",76 кКал,"0,07 г",0 г,"3,48 г"
"Вино, столовое, белое, Пино Блан (Pinot Blanc)",81 кКал,"0,07 г",0 г,"1,94 г"
"Вино, столовое, белое, Пино Гри (Pinot Gris (Grigio))",83 кКал,"0,07 г",0 г,"2,06 г"
"Вино, столовое, белое, Рислинг (Riesling)",80 кКал,"0,07 г",0 г,"3,74 г"
"Вино, столовое, белое, Семильон (Semillon)",82 кКал,"0,07 г",0 г,"3,12 г"
"Вино, столовое, белое, Совиньон Блан (Sauvignon Blanc)",81 кКал,"0,07 г",0 г,"2,05 г"
"Вино, столовое, белое, Фюмэ Блан (Fume Blanc)",82 кКал,"0,07 г",0 г,"2,27 г"
"Вино, столовое, белое, Шенен Блан (Chenin Blanc)",80 кКал,"0,07 г",0 г,"3,31 г"
"Вино, столовое, все виды",83 кКал,"0,07 г",0 г,"2,72 г"
"Вино, столовое, красное",85 кКал,"0,07 г",0 г,"2,61 г"
"Вино, столовое, красное, Барбера (Barbera)",85 кКал,"0,07 г",0 г,"2,79 г"
