Продукт,Калорийность,Белки,Жиры,Углеводы
�авлением воды",111 кКал,"16,7 г","3,5 г","3,1 г"
"Боквурст, (кнакер, варёно-копчёная сарделька), свинина, телятина, сырая",301 кКал,"14,03 г","25,87 г","1,95 г"
"Болонская колбаса, говядина",299 кКал,"10,91 г","26,13 г","4,29 г"
"Болонская колбаса, говядина и свинина",308 кКал,"15,2 г","24,59 г","5,49 г"
"Болонская колбаса, говядина и свинина, с низким содерж. жира, 19% жира",230 кКал,"11,5 г","19,3 г","2,6 г"
"Болонская колбаса, говядина, с низким содерж. жира, 15% жира",204 кКал,"11,8 г","14,8 г","5,2 г"
"Болонская колбаса, индейка",209 кКал,"11,42 г","16,05 г","4,18 г"
"Болонская колбаса, курица, индейка, свинина",298 кКал,"9,88 г","26,18 г","5,65 г"
"Болонская колбаса, курица, свинина",336 кКал,"10,31 г","30,61 г","4,19 г"
"Болонская колбаса, курица, свинина, говядина",272 кКал,"11,33 г","22,73 г","5,61 г"
"Болонская колбаса, свинина",247 кКал,"15,3 г","19,87 г","0,73 г"
"Болонская колбаса, свинина и индейка, легкая, 16% жира",211 кКал,"13,06 г","16,06 г","3,45 г"
"Болонская колбаса, свинина, индейка, говядина",336 кКал,"11,56 г","29,25 г","6,66 г"
"Братвурст, сарделька, из говядины и свинины",323 кКал,"14,3 г","27,8 г","2,98 г"
"Братвурст, сарделька, из говядины и свинины, копченая",297 кКал,"12,2 г","26,34 г",2 г
"Братвурст, сарделька, из курицы, приготовленная",176 кКал,"19,44 г","10,35 г",0 г
"Братвурст, сарделька, из свинины, говядины и индейки, легкая, копченая (14% жира)",186 кКал,"14,45 г","13,53 г","1,62 г"
"Братвурст, сарделька, из свинины, приготовленная",333 кКал,"13,72 г","29,18 г","2,85 г"
"Братвурст, сарделька, из телятины, приготовленная",341 кКал,"13,99 г","31,7 г",0 г
Ветчина в форме,279 кКал,"22,6 г","20,9 г",0 г
Ветчина особая,126 кКал,"17,6 г","6,2 г",0 г
"Ветчина, медовая, копчено-вареная",122 кКал,"17,93 г","2,37 г","7,27 г"
"Ветчина, нарезанная ломтиками, сверх постная",107 кКал,"16,85 г","4,04 г","0,7 г"
"Ветчина, рубленая",263 кКал,"16,28 г","20,68 г","1,84 г"
"Ветчина, рубленная, консервированная",239 кКал,"16,06 г","18,83 г","0,26 г"
