Продукт,Калорийность,Белки,Жиры,Углеводы
�,"317,2565 кКал","21,536 г","25,0652 г","1,3686 г"
Анчоусы и кильки с картофелем,"156,5 кКал","12,3 г","7,9 г","9,7 г"
Баклажаны панированные,236 кКал,"2,9 г","23,1 г","4,4 г"
Баклажаны по-украински,"154,1 кКал","1,7 г","13,6 г","6,8 г"
Баклажаны под майонезом,"114,2 кКал","1,4 г","10,4 г","4,1 г"
Баклажаны тушеные с помидорами,"189,3 кКал","2,1 г","17,7 г","5,7 г"
"Баранина рубленая, запеченная в омлете (чувашское национальное блюдо)","246,3 кКал",14 г,"20,1 г","2,5 г"
Баранина с рисом и изюмом (еврейское национальное блюдо),"265,4 кКал","12,4 г",18 г,"14,4 г"
Беляш,"139,3 кКал","8,8 г","6,2 г","12,8 г"
Беляши (казахское национальное блюдо),"260,6 кКал","14,6 г","14,7 г","18,7 г"
Береки (мучное изделие с мясом - калмыцкое национальное блюдо),289 кКал,"15,4 г","18,9 г","15,3 г"
Бефстроганов,"355,4 кКал","21,9 г","27,4 г","5,7 г"
"Биточки или котлеты манные, рисовые","162,4 кКал",4 г,"7,8 г","20,4 г"
"Биточки или котлеты пшенные, пшеничный, перловые, ячневые","151,9 кКал","3,9 г","7,4 г","18,6 г"
Биточки паровые,"281,4 кКал",20 г,"19,5 г",7 г
Биточки по-селянски (украинское национальное блюдо),"208,6 кКал","9,8 г","13,8 г",12 г
"Биточки рубленые из птицы, дичи или кролика паровые под белым соусом с рисом","307,1 кКал","11,2 г","13,2 г","38,3 г"
"Биточки рыбные, жаренные ""фри""","232,1 кКал","12,3 г",15 г,"12,7 г"
"Биточки, котлеты из кальмаров и рыбы",363 кКал,"14,4 г","12,5 г","51,4 г"
Бифштекс,"384,3 кКал","27,8 г","29,6 г","1,7 г"
Бифштекс рубленый,"497,3 кКал","27,1 г","43,2 г",0 г
Бифштекс с луком,"337,7 кКал",25 г,25 г,"3,4 г"
Бифштекс с яйцом,"326,4 кКал","26,1 г",24 г,"1,6 г"
Бифштексы рубленые,166 кКал,"11,1 г","12,9 г","1,4 г"
