Продукт,Калорийность,Белки,Жиры,Углеводы
�йс Кофе [Макдоналдс],42 кКал,"1,2 г","1,4 г","6,3 г"
Айс Кофе Гранд [Макдоналдс],358 кКал,"4,5 г",20 г,39 г
Американо [Макдоналдс],10 кКал,"0,9 г","0,3 г","0,9 г"
"Апельсиновый Сок (0,25 L) [Макдоналдс]",153 кКал,"3,8 г","0,6 г",30 г
"Апельсиновый Сок (0,3 L) [Макдоналдс]",150 кКал,0 г,0 г,33 г
"Апельсиновый Сок (0,4 L) [Макдоналдс]",190 кКал,3 г,1 г,41 г
"Апельсиновый Сок (0,47 L) [Макдоналдс]",235 кКал,0 г,0 г,52 г
"Апельсиновый Сок (0,5 L) [Макдоналдс]",240 кКал,4 г,1 г,52 г
Биг Брекфаст Ролл [Макдоналдс],583 кКал,25 г,31 г,48 г
Биг Маг [Макдоналдс],495 кКал,27 г,25 г,40 г
Биг Мак [Макдоналдс],522 кКал,27 г,27 г,42 г
Биг Мак без Соуса [Макдоналдс],234 кКал,"12,8 г","11,6 г","19,3 г"
Биг Мак Бекон-Томат-Салат [Макдоналдс],549 кКал,29 г,29 г,42 г
Биг Тейсти [Макдоналдс],800 кКал,43 г,47 г,49 г
Биг Тейсти Бекон [Макдоналдс],854 кКал,47 г,51 г,50 г
Биг Тейсти Джуниор [Макдоналдс],573 кКал,31 г,33 г,36 г
Биг Тейсти Острый [Макдоналдс],801 кКал,44 г,46 г,52 г
Биг Тейсти Ролл [Макдоналдс],521 кКал,26 г,30 г,36 г
Биг Тейсти с Беконом [Макдоналдс],854 кКал,47 г,51 г,50 г
Биг Тейсти Чураско [Макдоналдс],807 кКал,44 г,46 г,51 г
Билли Бекон [Макдоналдс],659 кКал,40 г,33 г,48 г
Биф а-ля Рус [Макдоналдс],580 кКал,25 г,33 г,41 г
Биф А-Ля Рус с Беконом [Макдоналдс],579 кКал,30 г,32 г,42 г
Биф Ролл [Макдоналдс],520 кКал,20 г,29 г,43 г
Биффер [Макдоналдс],258 кКал,12 г,13 г,23 г
Бифштекс Рубленный [Макдоналдс],220 кКал,19 г,16 г,0 г
Блинчики [Макдоналдс],241 кКал,"7,5 г","3,2 г",45 г
Блины (Стандартные) [Макдоналдс],235 кКал,7 г,3 г,45 г
Блины с Джемом [Макдоналдс],285 кКал,7 г,3 г,57 г
Блины с Мёдом [Макдоналдс],315 кКал,10 г,11 г,44 г
Большие Креветки (4) [Макдоналдс],180 кКал,"9,9 г",9 г,15 г
Большие Креветки (4) [Макдоналдс],180 кКал,"9,9 г",9 г,15 г
Большие Креветки (6) [Макдоналдс],271 кКал,15 г,14 г,22 г
Большие Креветки (9) [Макдоналдс],406 кКал,22 г,20 г,34 г
Большой Завтрак [Макдоналдс],550 кКал,28 г,30 г,40 г
Большой завтрак McDonalds [Макдоналдс],640 кКал,30 г,30 г,62 г
Большой завтрак McDonalds с джемом [Макдоналдс],675 кКал,30 г,35 г,58 г
Большой завтрак McDonalds с мёдом [Макдоналдс],685 кКал,30 г,35 г,60 г
Ванильное Печенье с Кусочками Шоколада [Макдоналдс],360 кКал,4 г,18 г,44 г
Ванильный Сироп [Макдоналдс],62 кКал,0 г,0 г,15 г
Вафельный Рожок [Макдоналдс],164 кКал,"3,8 г","3,6 г",29 г
Венская Вафля [Макдоналдс],309 кКал,"5,9 г",15 г,43 г
Вестерн Гурмэ [Макдоналдс],667 кКал,34 г,36 г,51 г
Вишневый Пирожок [Макдоналдс],249 кКал,"2,8 г",12 г,32 г
Гамбургер [Макдоналдс],251 кКал,13 г,"8,8 г",29 г
Гляссе [Макдоналдс],125 кКал,4 г,3 г,19 г
Гранд Биф [Макдоналдс],610 кКал,34 г,30 г,49 г
"Гранд Капучино (0,4 L) [Макдоналдс]",136 кКал,"6,3 г","7,6 г",10 г
Гранд Чизбургер [Макдоналдс],474 кКал,25 г,21 г,46 г
Грик Мак [Макдоналдс],486 кКал,24 г,26 г,39 г
Грикмак [Макдоналдс],476 кКал,21 г,30 г,29 г
Гриль Гурмэ [Макдоналдс],896 кКал,47 г,55 г,51 г
Гурме Вестерн [Макдоналдс],667 кКал,34 г,36 г,51 г
Дабл Макфреш [Макдоналдс],481 кКал,31 г,"25,6 г","30,7 г"
Дабл Чизбургер [Макдоналдс],448 кКал,27 г,24 г,31 г
