Продукт,Калорийность,Белки,Жиры,Углеводы
�тов или готовки,884 кКал,0 г,100 г,0 г
Арахисовое масло жидкое,899 кКал,0 г,"99,9 г",0 г
Горчичное масло,898 кКал,0 г,"99,8 г",0 г
Горчичное масло,884 кКал,0 г,100 г,0 г
Жир бараний топленый,897 кКал,0 г,"99,7 г",0 г
Жир говяжий,902 кКал,0 г,100 г,0 г
Жир говяжий топленый,896 кКал,0 г,"99,6 г",0 г
Жир гусиный,900 кКал,0 г,"99,8 г",0 г
Жир индейки,900 кКал,0 г,"99,8 г",0 г
"Жир кондитерский (шортенинг) для изготовления тортов и глазури, на основе гидрогенизированного соевого масла",884 кКал,0 г,100 г,0 г
"Жир кондитерский (шортенинг), на основе гидрогенизированного кокосового и/или гидрогенизированного пальмоядрового масла",884 кКал,0 г,100 г,0 г
"Жир кондитерский (шортенинг), на основе фракционированного пальмового масла",884 кКал,0 г,100 г,0 г
"Жир кондитерский 71% для изделий из слоёного теста, на основе хлопкового и частично гидрогенизированного соевого масел",628 кКал,0 г,71 г,0 г
"Жир кондитерский 80% для выпечки, изготовления соусов и конфет, на основе частично гидрогенизированного соевого масла",714 кКал,"0,18 г",80 г,"0,71 г"
"Жир кондитерский 80% для изделий из слоёного теста, на основе хлопкового и частично гидрогенизированного соевого масел",714 кКал,"1,9 г","80,2 г",0 г
Жир костный топленый,897 кКал,0 г,"99,7 г",0 г
Жир кулинарный,897 кКал,0 г,100 г,0 г
"Жир кулинарный ""Прима""",897 кКал,0 г,"99,7 г",0 г
Жир кулинарный «Белорусский»,897 кКал,0 г,"99,7 г",0 г
Жир кулинарный «Восточный»,897 кКал,0 г,"99,7 г",0 г
Жир кулинарный «Новинка»,897 кКал,0 г,"99,7 г",0 г
Жир кулинарный «Украинский»,897 кКал,0 г,"99,7 г",0 г
"Жир кулинарный (шортенинг) для выпечки и кондитерских изделий, на основе частично гидрогенизированного соевого масла",884 кКал,0 г,100 г,0 г
"Жир кулинарный (шортенинг) для выпечки хлеба, на основе соевого (гидрогенизированного) и хлопкового масел",884 кКал,0 г,100 г,0 г
"Жир кулинарный (шортенинг) для выпечки, на основе гидрогенизированного соевого, пальмового и хлопкового масел",884 кКал,0 г,100 г,0 г
"Жир кулинарный (шортенинг) для жарки на основе гидрогенизированного соевого масла, безлинолиевый (менее 1%)",884 кКал,0 г,100 г,0 г
"Жир кулинарный (шортенинг) для жарки, жидкий, на основе частично гидрогенизированного соевого масла",884 кКал,0 г,100 г,0 г
"Жир кулинарный (шортенинг) для жарки, на основе говяжьего жира и хлопкового масла",900 кКал,0 г,100 г,0 г
"Жир кулинарный (шортенинг) для жарки, на основе пальмового гидрогенизированного масла",884 кКал,0 г,100 г,0 г
Жир кулинарный для жарки на основе частично гидрогенизированного соевого и кукурузного масел,884 кКал,0 г,100 г,0 г
Жир кулинарный на основе свиного жира и растительного масла,900 кКал,0 г,100 г,0 г
"Жир кулинарный,  для тортов, на основе соевого (гидрогенизированного) и хлопкового (гидрогенизированного) масел",884 кКал,0 г,100 г,0 г
"Жир кулинарный, домашний, из смеси растительных масел",884 кКал,0 г,"99,97 г",0 г
"Жир кулинарный, домашний, из смеси частично гидрогенизированных соевого и хлопкового масел",884 кКал,0 г,100 г,0 г
"Жир кулинарный, домашний, на основе смальца и растительного масла",900 кКал,0 г,100 г,0 г
"Жир кулинарный, домашний, на основе соевого (гидрогенизированного) и пальмового масел",884 кКал,0 г,100 г,0 г
"Жир кулинарный, на основе соевого (гидрогенизированного) и хлопкового масел",884 кКал,0 г,100 г,0 г
"Жир кулинарный, универсальный, на основе соевого (гидрогенизированного) и пальмового (гидрогенизированного) масел",884 кКал,0 г,100 г,0 г
